course,access,category,holes,city_state,st,county,lon,lat
Fireweed Meadows Golf Course,Public,Public,9,"Anchor Point,AK",AK,Kenai Peninsula Borough,-151.820102,59.773222
Anchorage Golf Course,Public,Public,18,"Anchorage,AK",AK,Anchorage Municipality,-149.814495,61.127089
Russian Jack Springs Golf Course,Municipal,Public,9,"Anchorage,AK",AK,Anchorage Municipality,-149.788303,61.206435
Tanglewood Lakes Golf Club,Public,Public,9,"Anchorage,AK",AK,Anchorage Municipality,-149.853757,61.113415
Eagleglen Golf Course,Public,Public,18,"Elmendorf Afb,AK",AK,Anchorage Municipality,-149.824373,61.233041
Fairbanks Golf and Country Club,Public,Public,9,"Fairbanks,AK",AK,Fairbanks North Star Borough,-147.816536,64.877632
North Star Golf Course,Public,Public,18,"Fairbanks,AK",AK,Fairbanks North Star Borough,-147.613637,64.89708
Moose Run Golf Course,Public,Public,36,"Fort Richardson,AK",AK,Anchorage Municipality,-149.542309,61.24357
Chena Bend Golf Course,Public,Public,18,"Fort Wainwright,AK",AK,Fairbanks North Star Borough,-147.626814,64.814935
Mount Fairweather Golf Course,Public,Public,9,"Gustavus,AK",AK,Hoonah-Angoon Census Area,-135.742963,58.420408
Valley of the Eagles Golf Links,Public,Public,9,"Haines,AK",AK,Haines Borough,-135.481298,59.239917
Black Diamond Golf Course,Public,Public,9,"Healy,AK",AK,Denali Borough,-149.039817,63.848484
Kachemak Bay Links Par 3 Golf,Public,Public,9,"Homer,AK",AK,Kenai Peninsula Borough,-151.370752,59.692919
Mendenhall Golf Course,Public,Public,9,"Juneau,AK",AK,Juneau City and Borough,-134.610092,58.361763
Kenai Golf Course,Public,Public,18,"Kenai,AK",AK,Kenai Peninsula Borough,-151.183901,60.559592
Bear Valley Golf Course,Public,Public,9,"Kodiak,AK",AK,Kodiak Island Borough,-152.527572,57.772932
Cottonwood Country Club,Public,Public,9,"Nikiski,AK",AK,Kenai Peninsula Borough,-151.291629,60.690101
Palmer Golf Course,Municipal,Public,18,"Palmer,AK",AK,Matanuska-Susitna Borough,-149.087712,61.584757
Sea Mountain Golf Course,Public,Public,9,"Sitka,AK",AK,Sitka City and Borough,-135.395965,57.101605
Birch Ridge Golf Course Inc,Public,Public,9,"Soldotna,AK",AK,Kenai Peninsula Borough,-151.007643,60.499382
Bird Homestead Golf Course,Public,Public,9,"Soldotna,AK",AK,Kenai Peninsula Borough,-150.856551,60.498969
Settlers Bay Golf Course,Public,Public,18,"Wasilla,AK",AK,Matanuska-Susitna Borough,-149.613961,61.504628
Sleepy Hollow Golf Course,Public,Public,9,"Wasilla,AK",AK,Matanuska-Susitna Borough,-149.382193,61.655225
Muskeg Meadows Golf Course,Public,Public,9,"Wrangell,AK",AK,Wrangell City and Borough,-132.356586,56.473241
Albertville Golf & Country Club,Private,Private,18,"Albertville,AL",AL,Marshall County,-86.198381,34.296785
Willow Brook Golf Corp,Public,Public,18,"Albertville,AL",AL,Marshall County,-86.11883,34.3553
Willow Point Golf & Country Club,Semi Private,Public,18,"Alexander City,AL",AL,Tallapoosa County,-85.976846,32.788959
Aliceville Country Club,Private,Private,18,"Aliceville,AL",AL,Pickens County,-88.141013,33.102758
Alpine Bay Resort,Public,Public,18,"Alpine,AL",AL,Talladega County,-86.300495,33.434675
Whippoorwill Golf Club,Public,Public,18,"Altoona,AL",AL,Blount County,-86.435707,34.113605
Evans Barnes Golf Course,Municipal,Public,18,"Andalusia,AL",AL,Covington County,-86.451201,31.321218
Andalusia Country Club,Private,Private,18,"Andalusia,AL",AL,Covington County,-86.511445,31.315197
Old Pine Golf Course,Public,Public,9,"Andalusia,AL",AL,Covington County,-86.377095,31.344885
Anniston Municipal Golf Course,Municipal,Public,9,"Anniston,AL",AL,Calhoun County,-85.810966,33.665031
Cane Creek Golf Course,Municipal,Public,18,"Anniston,AL",AL,Calhoun County,-85.792399,33.71603
Anniston Country Club,Semi Private,Public,18,"Anniston,AL",AL,Calhoun County,-85.818524,33.651845
Indian Oaks Golf Club,Public,Public,18,"Anniston,AL",AL,Calhoun County,-85.87225,33.730704
Pine Hill Country Club,Public,Public,18,"Anniston,AL",AL,Calhoun County,-85.703307,33.671577
Brookside Golf Course,Public,Public,18,"Arab,AL",AL,Marshall County,-86.511111,34.326222
Twin Lakes Golf Course,Public,Public,18,"Arab,AL",AL,Marshall County,-86.498066,34.343263
Clay County Golf Course,Public,Public,9,"Ashland,AL",AL,Clay County,-85.798765,33.280444
Athens Golf & Country Club,Public,Public,9,"Athens,AL",AL,Limestone County,-86.954304,34.759613
Canebrake Golf Club,Public,Public,19,"Athens,AL",AL,Limestone County,-86.91543,34.763744
Chriswood Golf Course,Public,Public,18,"Athens,AL",AL,Limestone County,-86.857802,34.802979
Southern Gayles Golf Community,Public,Public,18,"Athens,AL",AL,Limestone County,-86.875101,34.879828
Atmore Country Club,Private,Private,9,"Atmore,AL",AL,Escambia County,-87.492589,31.02483
Wills Creek Country Club,Public,Public,18,"Attalla,AL",AL,Etowah County,-86.096727,34.009726
Indian Pines Golf Course,Municipal,Public,18,"Auburn,AL",AL,Lee County,-85.441306,32.62367
The Auburn University Club,Semi Private,Public,18,"Auburn,AL",AL,Lee County,-85.505203,32.632656
Auburn Links At Mill Creek,Public,Public,18,"Auburn,AL",AL,Lee County,-85.507329,32.554634
Moore's Mill Golf Club,Public,Public,18,"Auburn,AL",AL,Lee County,-85.445537,32.580497
Holly Hills Country Club,Private,Private,9,"Bay Minette,AL",AL,Baldwin County,-87.773055,30.787791
Frank House Municipal Golf Course,Municipal,Public,18,"Bessemer,AL",AL,Jefferson County,-86.991577,33.367315
Woodward Golf & Country Club,Private,Private,18,"Bessemer,AL",AL,Jefferson County,-86.957834,33.428521
Bent Brook Golf Course,Public,Public,54,"Bessemer,AL",AL,Jefferson County,-86.973348,33.33316
Roebuck Municipal Golf Course,Municipal,Public,18,"Birmingham,AL",AL,Jefferson County,-86.711209,33.582031
Grayson Valley Country Club,Private,Private,18,"Birmingham,AL",AL,Jefferson County,-86.642887,33.645754
Greystone Golf & Country Club,Private,Private,18,"Birmingham,AL",AL,Shelby County,-86.651369,33.429533
Greystone Golf & Country Club,Private,Private,18,"Birmingham,AL",AL,Shelby County,-86.622465,33.454637
Hoover Country Club,Private,Private,18,"Birmingham,AL",AL,Jefferson County,-86.81748,33.399573
Pine Tree Country Club,Private,Private,18,"Birmingham,AL",AL,Jefferson County,-86.653914,33.527852
Vestavia Country Club,Private,Private,27,"Birmingham,AL",AL,Jefferson County,-86.772297,33.454757
Mountain Brook Club,Private,Private,18,"Birmingham,AL",AL,Jefferson County,-86.744309,33.495525
Altadena Valley Golf & Country Club,Semi Private,Public,18,"Birmingham,AL",AL,Jefferson County,-86.748825,33.417863
Heatherwood Country Club,Semi Private,Public,18,"Birmingham,AL",AL,Shelby County,-86.749207,33.397505
Inverness Country Club,Semi Private,Public,18,"Birmingham,AL",AL,Jefferson County,-86.766597,33.496983
Riverchase Country Club,Semi Private,Public,18,"Birmingham,AL",AL,Jefferson County,-86.826049,33.338098
Country Club of Birmingham,Semi Private,Public,36,"Birmingham,AL",AL,Jefferson County,-86.765447,33.49841
Eagle Point Golf Club,Public,Public,18,"Birmingham,AL",AL,Shelby County,-86.669263,33.399671
Robert Trent Jones Golf Trail At Oxmoor Valley,Public,Public,54,"Birmingham,AL",AL,Jefferson County,-86.877968,33.419409
Ross Bridge Golf Resort,Public,Public,18,"Birmingham,AL",AL,Jefferson County,-86.879498,33.392116
West Side Golf Center,Public,Public,9,"Birmingham,AL",AL,Jefferson County,-86.89096,33.468352
Highland Park Golf Course,Public,Public,18,"Birmingham,AL",AL,Jefferson County,-86.779392,33.512479
Boaz Golf Club,Public,Public,18,"Boaz,AL",AL,Etowah County,-86.153561,34.173445
Dogwood Hills Golf Course,Municipal,Public,9,"Brewton,AL",AL,Escambia County,-87.068132,31.144816
Country Club of Brewton,Public,Public,18,"Brewton,AL",AL,Escambia County,-87.059413,31.209551
Capstone Golf Club,Public,Public,18,"Brookwood,AL",AL,Tuscaloosa County,-87.33057,33.237681
Brundidge Country Club,Private,Private,9,"Brundidge,AL",AL,Pike County,-85.816771,31.7202
Hidden Valley Golf Course,Public,Public,18,"Bryant,AL",AL,Jackson County,-85.661585,34.974544
Choctaw Country Club,Private,Private,9,"Butler,AL",AL,Choctaw County,-88.188385,32.090062
Timberline Golf Club,Public,Public,18,"Calera,AL",AL,Shelby County,-86.734914,33.102898
Roland Cooper State Park Golf Course,Municipal,Public,9,"Camden,AL",AL,Wilcox County,-87.245535,32.055353
Cherokee Country Club,Public,Public,18,"Centre,AL",AL,Cherokee County,-85.647439,34.112623
Cahaba Falls Country Club,Public,Public,18,"Centreville,AL",AL,Bibb County,-87.137499,32.968185
Deerfield Country Club,Public,Public,18,"Chatom,AL",AL,Washington County,-88.205439,31.454237
Deer Valley Links,Public,Public,18,"Chelsea,AL",AL,Shelby County,-86.71452,33.322705
Coosa Pines Golf Course,Public,Public,18,"Childersburg,AL",AL,Shelby County,-86.358914,33.334061
Mill Creek,Municipal,Public,18,"Citronelle,AL",AL,Mobile County,-88.310005,31.073651
Clanton Country Club,Public,Public,9,"Clanton,AL",AL,Chilton County,-86.609619,32.81974
Magnolia Meadows Golf Course,Public,Public,18,"Columbiana,AL",AL,Shelby County,-86.605427,33.169582
Riverbend Golf Course,Public,Public,18,"Cordova,AL",AL,Walker County,-87.134163,33.791068
Valley Landing Golf Course,Municipal,Public,18,"Courtland,AL",AL,Lawrence County,-87.351811,34.670338
Roundabout Plantation,Public,Public,18,"Cowarts,AL",AL,Houston County,-85.306541,31.226876
Terri Pines Country Club,Semi Private,Public,18,"Cullman,AL",AL,Cullman County,-86.889256,34.224233
Chesley Oaks Golf Course,Public,Public,18,"Cullman,AL",AL,Cullman County,-86.670194,34.249113
StillWaters Golf and Country Club,Public,Public,18,"Dadeville,AL",AL,Tallapoosa County,-85.805971,32.745816
Lake Forest Yacht & Country Club,Semi Private,Public,27,"Daphne,AL",AL,Baldwin County,-87.895203,30.649638
Point Mallard Golf Club,Municipal,Public,18,"Decatur,AL",AL,Morgan County,-86.930105,34.545337
Decatur Country Club,Private,Private,18,"Decatur,AL",AL,Morgan County,-86.96625,34.567514
Burningtree Country Club,Semi Private,Public,18,"Decatur,AL",AL,Morgan County,-86.933742,34.518897
Cedar Ridge Golf Course,Public,Public,18,"Decatur,AL",AL,Morgan County,-87.049833,34.561342
Indian Hills Golf Course,Public,Public,18,"Decatur,AL",AL,Morgan County,-86.931083,34.494825
The Ravine Golf Course,Municipal,Public,18,"Demopolis,AL",AL,Marengo County,-87.791047,32.486124
Demopolis Country Club,Private,Private,18,"Demopolis,AL",AL,Marengo County,-87.859405,32.499999
Horse Creek Golf Club,Municipal,Public,18,"Dora,AL",AL,Walker County,-87.058918,33.750913
Dothan Country Club,Private,Private,18,"Dothan,AL",AL,Houston County,-85.417632,31.22387
Dothan National Golf Club & Hotel,Public,Public,18,"Dothan,AL",AL,Houston County,-85.404517,31.120801
Green Hill Golf Course,Public,Public,18,"Dothan,AL",AL,Houston County,-85.421542,31.15937
Highland Oaks Golf Course,Public,Public,36,"Dothan,AL",AL,Houston County,-85.49638,31.226907
Highland Oaks Par 3 Golf Course,Public,Public,9,"Dothan,AL",AL,Houston County,-85.49638,31.226907
High Pointe Golf Club,Municipal,Public,9,"Eight Mile,AL",AL,Mobile County,-88.168015,30.756027
Elba Country Club,Private,Private,9,"Elba,AL",AL,Coffee County,-86.097119,31.437234
Soldiers Creek Golf Club At Woerner Preserve,Public,Public,18,"Elberta,AL",AL,Baldwin County,-87.547564,30.403182
Marcum Golf Course,Public,Public,18,"Empire,AL",AL,Jefferson County,-86.956142,33.792773
Enterprise Country Club,Private,Private,18,"Enterprise,AL",AL,Coffee County,-85.831816,31.360296
Tartan Pines Golf Club,Public,Public,18,"Enterprise,AL",AL,Coffee County,-85.879854,31.312646
Lake Point Resort State Park Golf Course,Municipal,Public,18,"Eufaula,AL",AL,Barbour County,-85.114176,31.98767
Eufaula Country Club,Private,Private,18,"Eufaula,AL",AL,Barbour County,-85.172012,31.88752
Red Eagle Golf Course,Public,Public,18,"Eufaula,AL",AL,Barbour County,-85.157631,31.821922
Greene County Golf Course,Municipal,Public,9,"Eutaw,AL",AL,Greene County,-87.938072,32.852601
Evergreen Golf Course,Public,Public,9,"Evergreen,AL",AL,Conecuh County,-86.887753,31.43712
Quail Creek Golf Course,Municipal,Public,18,"Fairhope,AL",AL,Baldwin County,-87.844066,30.513396
Rock Creek Golf Club,Public,Public,18,"Fairhope,AL",AL,Baldwin County,-87.88837,30.573041
Fayette Country Club,Private,Private,9,"Fayette,AL",AL,Fayette County,-87.872075,33.685932
Dogwood Hills Golf Club,Public,Public,18,"Flat Rock,AL",AL,Jackson County,-85.658124,34.824072
Blackberry Trail Golf Course,Municipal,Public,18,"Florence,AL",AL,Lauderdale County,-87.630083,34.861748
Florence Golf & Country Club,Private,Private,18,"Florence,AL",AL,Lauderdale County,-87.714906,34.810585
Glenlakes Golf Club,Public,Public,27,"Foley,AL",AL,Baldwin County,-87.637127,30.364024
Gulf Links Executive Golf Course,Public,Public,18,"Foley,AL",AL,Baldwin County,-87.682934,30.357377
Magnolia Springs Golf,Public,Public,9,"Foley,AL",AL,Baldwin County,-87.768043,30.381983
De Soto Country Club,Private,Private,9,"Fort Payne,AL",AL,DeKalb County,-85.694491,34.462253
Terrapin Hills Country Club,Private,Private,18,"Fort Payne,AL",AL,DeKalb County,-85.687898,34.509586
Silver Wings Golf Course,Public,Public,54,"Fort Rucker,AL",AL,Dale County,-85.692736,31.352046
Twin Bridges Golf Course,Municipal,Public,18,"Gadsden,AL",AL,Etowah County,-85.985059,34.025973
Gadsden Country Club,Private,Private,18,"Gadsden,AL",AL,Etowah County,-86.012825,33.975807
River Trace Golf Club,Public,Public,18,"Gadsden,AL",AL,Etowah County,-85.986479,34.01053
Castle Pines Country Club,Public,Public,18,"Gardendale,AL",AL,Jefferson County,-86.781718,33.660967
River Oaks Golf Course,Public,Public,9,"Geneva,AL",AL,Geneva County,-85.862528,31.028007
Briarmeade Golf Course,Private,Private,18,"Glencoe,AL",AL,Etowah County,-85.946376,33.96101
The Robert Trent Jones Golf Trail At Silver Lake,Public,Public,54,"Glencoe,AL",AL,Calhoun County,-85.927814,33.884072
The Robert Trent Jones Golf Trail Par 3 At Silver Lake,Public,Public,9,"Glencoe,AL",AL,Calhoun County,-85.927814,33.884072
Hatchett Creek Golf Course,Public,Public,9,"Goodwater,AL",AL,Coosa County,-86.099665,33.056103
Mountain View Golf Course,Public,Public,45,"Graysville,AL",AL,Jefferson County,-86.940498,33.633344
Lakeview Country Club,Public,Public,9,"Greensboro,AL",AL,Hale County,-87.634199,32.693137
Greenville Country Club,Private,Private,9,"Greenville,AL",AL,Butler County,-86.639508,31.846232
The Robert Trent Jones Golf Trail At Cambrian Ridg,Public,Public,63,"Greenville,AL",AL,Butler County,-86.686282,31.896111
Pikeville Country Club,Private,Private,18,"Guin,AL",AL,Marion County,-87.905842,33.971968
Gulf State Park Golf Course,Municipal,Public,18,"Gulf Shores,AL",AL,Baldwin County,-87.678015,30.265806
Craft Farms Golf Resort,Public,Public,36,"Gulf Shores,AL",AL,Baldwin County,-87.669298,30.304795
Peninsula Golf & Racquet Club,Public,Public,54,"Gulf Shores,AL",AL,Baldwin County,-87.773899,30.251587
The Golf Club of the Wharf,Public,Public,18,"Gulf Shores,AL",AL,Baldwin County,-87.701114,30.270101
Lake Guntersville State Park Golf Course,Municipal,Public,18,"Guntersville,AL",AL,Marshall County,-86.217249,34.369603
Gunter's Landing,Public,Public,18,"Guntersville,AL",AL,Marshall County,-86.255397,34.394562
Stoney Mountain Golf Course,Public,Public,18,"Guntersville,AL",AL,Marshall County,-86.388367,34.374594
Haleyville Country Club,Private,Private,18,"Haleyville,AL",AL,Winston County,-87.604364,34.277349
Cullman Municipal Golf Club,Municipal,Public,18,"Hanceville,AL",AL,Cullman County,-86.831362,34.110408
Quail Creek Golf Course & Conference Center,Public,Public,18,"Hartselle,AL",AL,Morgan County,-86.863833,34.390421
Harvest Hills,Public,Public,18,"Harvest,AL",AL,Madison County,-86.740041,34.859823
Plantation Golf Club,Public,Public,27,"Hayden,AL",AL,Blount County,-86.668003,33.949571
Headland Country Club,Public,Public,9,"Headland,AL",AL,Henry County,-85.260701,31.351977
Silver Ridge Golf Club,Public,Public,18,"Horton,AL",AL,Blount County,-86.372523,34.16761
Huntsville Municipal Golf Course,Municipal,Public,18,"Huntsville,AL",AL,Madison County,-86.584758,34.688979
Huntsville Country Club,Private,Private,18,"Huntsville,AL",AL,Madison County,-86.612913,34.749339
Valley Hill Country Club,Private,Private,27,"Huntsville,AL",AL,Madison County,-86.543117,34.657309
Redstone Golf Course,Semi Private,Public,45,"Huntsville,AL",AL,Madison County,-86.668185,34.698434
The Ledges Country Club,Semi Private,Public,18,"Huntsville,AL",AL,Madison County,-86.518341,34.671148
Monrovia Golf Course,Public,Public,18,"Huntsville,AL",AL,Madison County,-86.714329,34.75548
Sunset Landing Golf Course,Public,Public,18,"Huntsville,AL",AL,Madison County,-86.773548,34.658224
Silver King Golf Club,Public,Public,18,"Irvington,AL",AL,Mobile County,-88.228975,30.44651
Jackson Links Golf Course,Public,Public,9,"Jackson,AL",AL,Clarke County,-87.891251,31.507903
Lake Winds Golf Course,Municipal,Public,18,"Jacksons Gap,AL",AL,Tallapoosa County,-85.873055,32.885532
Stoney Brook Golf Course,Public,Public,18,"Jacksonville,AL",AL,Calhoun County,-85.773421,33.784875
Musgrove Country Club,Semi Private,Public,18,"Jasper,AL",AL,Walker County,-87.287201,33.905893
Curry Golf Course,Public,Public,9,"Jasper,AL",AL,Walker County,-87.211115,33.958805
Bear Branch Golf Club,Public,Public,9,"Jasper,AL",AL,Walker County,-87.327934,33.835633
Turtle Point Yacht & Country Club,Private,Private,18,"Killen,AL",AL,Lauderdale County,-87.545134,34.843621
Riverside Country Club,Public,Public,9,"Lanett,AL",AL,Chambers County,-85.215039,32.87264
Linden Country Club,Private,Private,18,"Linden,AL",AL,Marengo County,-87.767996,32.294162
Livingston Country Club,Private,Private,9,"Livingston,AL",AL,Sumter County,-88.201233,32.600854
Steelwood Country Club,Private,Private,18,"Loxley,AL",AL,Baldwin County,-87.722198,30.698332
Crenshaw County Rec Club,Private,Private,9,"Luverne,AL",AL,Crenshaw County,-86.267266,31.702645
Marion Military Institute Golf Course,Public,Public,9,"Marion,AL",AL,Perry County,-87.318588,32.624491
Cypress Tree Golf Courses,Semi Private,Public,36,"Montgomery,AL",AL,Montgomery County,-86.360922,32.390946
Lakeview Country Club,Public,Public,9,"McCalla,AL",AL,Tuscaloosa County,-87.144449,33.281056
Cloudmont Ski & Golf Resort,Public,Public,9,"Mentone,AL",AL,DeKalb County,-85.603204,34.537302
Colonial Golf Course,Public,Public,18,"Meridianville,AL",AL,Madison County,-86.597048,34.873146
Fox Run Golf Course,Public,Public,18,"Meridianville,AL",AL,Madison County,-86.537211,34.87911
The Pines Golf Club,Municipal,Public,18,"Millbrook,AL",AL,Elmore County,-86.375389,32.521738
Azalea City Golf Course,Municipal,Public,18,"Mobile,AL",AL,Mobile County,-88.162398,30.710567
Magnolia Grove Golf Club,Municipal,Public,54,"Mobile,AL",AL,Mobile County,-88.21261,30.737516
Country Club of Mobile,Private,Private,27,"Mobile,AL",AL,Mobile County,-88.15335,30.68628
Heron Lakes Country Club,Private,Private,18,"Mobile,AL",AL,Mobile County,-88.133828,30.642802
Spring Hill College Golf Course,Public,Public,18,"Mobile,AL",AL,Mobile County,-88.146485,30.685821
Vanity Fair Golf & Tennis Club,Private,Private,18,"Monroeville,AL",AL,Monroe County,-87.340089,31.519735
Montevallo Golf Club,Municipal,Public,18,"Montevallo,AL",AL,Shelby County,-86.873531,33.102673
Gateway Park Executive Golf Course,Municipal,Public,18,"Montgomery,AL",AL,Montgomery County,-86.326554,32.335042
Lagoon Park Golf Course,Municipal,Public,18,"Montgomery,AL",AL,Montgomery County,-86.221294,32.400294
Arrowhead Golf & Country Club,Private,Private,18,"Montgomery,AL",AL,Montgomery County,-86.144678,32.378926
Bonnie Crest Country Club,Semi Private,Public,18,"Montgomery,AL",AL,Montgomery County,-86.272271,32.398724
Montgomery Country Club,Semi Private,Public,18,"Montgomery,AL",AL,Montgomery County,-86.282368,32.351498
Wynlakes Golf & Country Club,Semi Private,Public,18,"Montgomery,AL",AL,Montgomery County,-86.149479,32.349475
Cottonwood Golf Club,Public,Public,18,"Montgomery,AL",AL,Montgomery County,-86.174376,32.247291
Magnolia Golf Club,Public,Public,18,"Montgomery,AL",AL,Montgomery County,-86.270866,32.318126
Tallapoosa Lakes Golf Course,Public,Public,36,"Montgomery,AL",AL,Montgomery County,-86.135717,32.419455
Green Briar Golf Course,Public,Public,18,"Morris,AL",AL,Jefferson County,-86.792639,33.75806
Deer Run Golf Course,Municipal,Public,18,"Moulton,AL",AL,Lawrence County,-87.311735,34.433911
Cypress Lakes Golf & Country Club,Public,Public,18,"Muscle Shoals,AL",AL,Colbert County,-87.659718,34.730226
The Shoals Golf Club,Public,Public,36,"Muscle Shoals,AL",AL,Colbert County,-87.535206,34.817814
Hidden Meadows Golf Course,Public,Public,18,"Northport,AL",AL,Tuscaloosa County,-87.638899,33.293178
Heritage Golf Course,Public,Public,18,"Oneonta,AL",AL,Blount County,-86.46493,33.973678
Limestone Springs Golf Club,Public,Public,18,"Oneonta,AL",AL,Blount County,-86.56757,33.895796
Whispering Pines Golf Club,Public,Public,18,"Oneonta,AL",AL,Blount County,-86.407295,33.92928
Saugahatchee Country Club,Private,Private,18,"Opelika,AL",AL,Lee County,-85.417515,32.600131
Grand National Golf Course,Public,Public,54,"Opelika,AL",AL,Lee County,-85.426491,32.676058
Opp Country Club,Private,Private,9,"Opp,AL",AL,Covington County,-86.284816,31.279539
Orange Beach Golf Center,Municipal,Public,9,"Orange Beach,AL",AL,Baldwin County,-87.60668,30.290876
The Robert Trent Jones Golf Trail@ Hampton Cove,Public,Public,54,"Owens Cross Roads,AL",AL,Madison County,-86.471284,34.659987
Cider Ridge Golf Club,Public,Public,18,"Oxford,AL",AL,Calhoun County,-85.750792,33.594656
Ozark Country Club,Public,Public,18,"Ozark,AL",AL,Dale County,-85.614841,31.474832
Ballantrae Golf Course,Municipal,Public,18,"Pelham,AL",AL,Shelby County,-86.755997,33.260424
Oak Mt State Park Golf Course,Municipal,Public,27,"Pelham,AL",AL,Shelby County,-86.760144,33.332374
Pell City Country Club,Private,Private,18,"Pell City,AL",AL,St. Clair County,-86.258419,33.559699
Pine Harbor Golf & Racquet Club,Semi Private,Public,18,"Pell City,AL",AL,St. Clair County,-86.272062,33.524899
Lakewood Golf Course,Municipal,Public,18,"Phenix City,AL",AL,Lee County,-85.020077,32.504099
Cumberland Lake Country Club,Public,Public,18,"Pinson,AL",AL,Jefferson County,-86.670198,33.770023
Marriott Lakewood Golf Club,Semi Private,Public,36,"Point Clear,AL",AL,Baldwin County,-87.918457,30.473009
Prattville Country Club,Private,Private,18,"Prattville,AL",AL,Autauga County,-86.490568,32.45151
Capitol Hill Golf Course,Public,Public,54,"Prattville,AL",AL,Elmore County,-86.402021,32.447063
Hidden Oaks Golf Club,Public,Public,9,"Rainbow City,AL",AL,Etowah County,-86.065727,33.95149
Hidden Oaks Par 3 Golf Course,Public,Public,9,"Rainbow City,AL",AL,Etowah County,-86.065718,33.951858
Rainsville Golf & Country Club,Public,Public,9,"Rainsville,AL",AL,DeKalb County,-85.806916,34.475419
Redmont Recreation Club Golf Course,Public,Public,18,"Red Bay,AL",AL,Franklin County,-88.147419,34.46454
The Knolls Country Club,Private,Private,9,"Reform,AL",AL,Pickens County,-87.980425,33.374022
Roanoke Country Club,Public,Public,9,"Roanoke,AL",AL,Randolph County,-85.382288,33.132333
Joe Wheeler State Park Golf Course,Municipal,Public,18,"Rogersville,AL",AL,Lauderdale County,-87.319689,34.827766
Twin Pines Golf Course,Semi Private,Public,18,"Russellville,AL",AL,Colbert County,-87.675625,34.571422
Goose Pond Colony Golf Course,Municipal,Public,18,"Scottsboro,AL",AL,Jackson County,-86.079295,34.598099
Goose Pond Plantation Golf Course,Municipal,Public,18,"Scottsboro,AL",AL,Jackson County,-86.130105,34.639542
Scottsboro Golf & Country Club,Private,Private,9,"Scottsboro,AL",AL,Jackson County,-86.041767,34.637641
Broken Arrow Golf Course,Public,Public,18,"Scottsboro,AL",AL,Jackson County,-86.069645,34.609413
Selma Country Club,Semi Private,Public,18,"Selma,AL",AL,Dallas County,-87.044127,32.40602
Craig Golf Course,Public,Public,9,"Selma,AL",AL,Dallas County,-86.986899,32.36128
Occidental Chemical Co. Golf Course,Semi Private,Public,9,"Sheffield,AL",AL,Colbert County,-87.692605,34.75973
Shoal Creek,Private,Private,27,"Shoal Creek,AL",AL,Shelby County,-86.615399,33.43884
TimberCreek Golf Club,Public,Public,54,"Spanish Fort,AL",AL,Baldwin County,-87.85673,30.670241
Oak Hill Country Club,Private,Private,9,"Sulligent,AL",AL,Lamar County,-88.119665,33.837625
Sylacauga Country Club,Private,Private,18,"Sylacauga,AL",AL,Talladega County,-86.241561,33.216314
FarmLinks Golf Club,Public,Public,18,"Sylacauga,AL",AL,Talladega County,-86.419684,33.11773
Talladega Municipal Golf Course,Municipal,Public,18,"Talladega,AL",AL,Talladega County,-86.107165,33.446152
Timber Ridge Golf Club,Public,Public,18,"Talladega,AL",AL,Talladega County,-86.071216,33.435546
Lakeside Country Club,Public,Public,18,"Tallassee,AL",AL,Elmore County,-85.947715,32.609354
Meadowlake Golf Course,Public,Public,9,"Theodore,AL",AL,Mobile County,-88.23757,30.580861
Pineview Country Club,Private,Private,9,"Thomasville,AL",AL,Clarke County,-87.762552,31.907746
Troy Country Club,Private,Private,9,"Troy,AL",AL,Pike County,-85.965345,31.778483
Trojan Oaks Golf Course,Public,Public,9,"Troy,AL",AL,Pike County,-85.955571,31.802189
Trussville Country Club,Public,Public,18,"Trussville,AL",AL,Jefferson County,-86.55624,33.603457
Ol' Colony Golf Complex,Municipal,Public,18,"Tuscaloosa,AL",AL,Tuscaloosa County,-87.534657,33.260213
Woodland Forrest Country Club,Private,Private,18,"Tuscaloosa,AL",AL,Tuscaloosa County,-87.46721,33.155495
Country Club of Tuscaloosa,Semi Private,Public,18,"Tuscaloosa,AL",AL,Tuscaloosa County,-87.584279,33.205993
Indian Hills Country Club,Semi Private,Public,18,"Tuscaloosa,AL",AL,Tuscaloosa County,-87.541789,33.23371
NorthRiver Yacht Club,Semi Private,Public,18,"Tuscaloosa,AL",AL,Tuscaloosa County,-87.498139,33.294354
The Links At Tuscaloosa,Public,Public,18,"Tuscaloosa,AL",AL,Tuscaloosa County,-87.560594,33.155844
Spring Creek Golf Course,Municipal,Public,9,"Tuscumbia,AL",AL,Colbert County,-87.695097,34.715528
Tennessee Valley Country Club,Private,Private,9,"Tuscumbia,AL",AL,Colbert County,-87.704489,34.718458
Cherokee Ridge Country Club,Semi Private,Public,18,"Union Grove,AL",AL,Marshall County,-86.568835000000007,34.419236
Union Springs Country Club,Private,Private,9,"Union Springs,AL",AL,Bullock County,-85.72653,32.152813
Valley Grande Golf Club,Public,Public,18,"Valley Grande,AL",AL,Dallas County,-87.115341,32.486742
Rolling Hills Golf Course,Public,Public,9,"Valley,AL",AL,Lee County,-85.202628,32.702326
Old Overton Club,Private,Private,18,"Vestavia Hills,AL",AL,Jefferson County,-86.681762,33.491622
Emerald Mountain Golf Club,Public,Public,18,"Wetumpka,AL",AL,Elmore County,-86.105816,32.448205
Quail Walk Country Club,Public,Public,18,"Wetumpka,AL",AL,Elmore County,-86.227318,32.563393
